id,entityName,registerDateMinistry,Euregister,category,ministries,parliamentActivity,representatives,clients,registerDate,expirationDate,subject,st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21,,,
1,Polska Kompania Doradcza Sp. z o.o.,2006-03-14,Nie,Nie dotyczy,Ministerstwo Sprawiedliwości,Nie,,,,,,,,,,,,,,,,,,,,1,,,,,,
2,Pleon Sp. z o.o.,2006-03-14,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Majchrzak Krzysztof,b.d.,Nie,Nie dotyczy,Ministerstwo Sportu i Turystyki,Tak,Krzysztof Majchrzak,Sekcja Ratująca Międzyszkolny Ośrodek Sportowy nr 5 w Instytucie Reumatologii,7/2/2011,26/4/2011,Działalność na rzecz ratowania Międzyszkolnego Ośrodka Sportowego nr 5 w Instytucje Reumatologii w Warszawie,,,,,,,,,,1,,,,,,,,1,,,
4,Grzegorz Ziemniak,2006-03-14,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Związek Pracodawców  LEWIATAN,2006-03-14,Nie,Nie dotyczy,Ministerstwo Sportu i Turystyki,Nie,,,,,,,,,,,,,,,,,,,,,,,1,,,
6,ON BOARD PUBLIC RELATIONS,2006-03-14,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Anna Kowalska,Adamed Sp. z o.o.,23/5/2006,23/6/2006,Założenia zmian w systemie refundacji leków,,,,,,,,,,1,,,,,,,,,,,
6,ON BOARD PUBLIC RELATIONS,2006-03-14,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Iwona Kubicz,Adamed Sp. z o.o.,23/5/2006,23/6/2006,Założenia zmian w systemie refundacji leków,,,,,,,,,,1,,,,,,,,,,,
6,ON BOARD PUBLIC RELATIONS,2006-03-14,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Norbert Ofmański,Adamed Sp. z o.o.,23/5/2006,23/6/2006,Założenia zmian w systemie refundacji leków,,,,,,,,,,1,,,,,,,,,,,
6,ON BOARD PUBLIC RELATIONS,2006-03-14,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Anna Kowalska,Adamed Sp. z o.o.,9/2/2007,7/5/2007,Prawo farmaceutyczne,,,,,,,,,,1,,,,,,,,,,,
6,ON BOARD PUBLIC RELATIONS,2006-03-14,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Iwona Kubicz,Adamed Sp. z o.o.,9/2/2007,7/5/2007,Prawo farmaceutyczne,,,,,,,,,,1,,,,,,,,,,,
6,ON BOARD PUBLIC RELATIONS,2006-03-14,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Norbert Ofmański,Adamed Sp. z o.o.,9/2/2007,7/5/2007,Prawo farmaceutyczne,,,,,,,,,,1,,,,,,,,,,,
7,Dariusz Krupski,2006-03-14,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Łukasz Jachowicz,GTech Corp.,8/12/2008,8/1/2009,Prawo związane z grami i zakładami wzajemnymi,,,,1,,,,,,,,,,,,,,1,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Łukasz Jachowicz,GTech Corp.,20/1/2009,21/3/2009,Prawo związane z grami i zakładami wzajemnymi,,,,1,,,,,,,,,,,,,,1,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Sławomir Mazurek,REBA Organizacja Odzysku S.A.,20/1/2009,21/3/2009,Prawo ochrony środowiska,,,,1,,,,1,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Łukasz Jachowicz,GTech Corp.,30/3/2009,8/6/2009,Prawo związane z grami i zakładami wzajemnymi,,,,1,,,,,,,,,,,,,,1,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Sławomir Mazurek,REBA Organizacja Odzysku S.A.,30/3/2009,8/6/2009,Prawo związane z ochroną środowiska,,,,1,,,,1,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Łukasz Jachowicz,Adobe Systems Europe Limited,19/10/2009,30/11/2009,Informatyzacja administracji publicznej,1,1,,1,,,,,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Łukasz Jachowicz,Adobe Systems Europe Limited,27/11/2009,22/2/2010,Informatyzacja administracji publicznej,1,1,,1,,,,,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Marek Kotlarski,Souter Investments LLP,6/10/2010,2/11/2010,Prawo związane z transportem,,,,1,,,,,,,,1,,,,,,,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Claudie-Marie  Smoleń,Souter Investments LLP,6/10/2010,2/11/2010,Prawo związane z transportem,,,,,,,,,,,,1,,,,,,,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Łukasz Jachowicz,bwin Interactive Entertainment AG,20/1/2011,3/4/2011,Prawo związane z grami i zakładami wzajemnymi,,,,1,,,,,,,,,,,,,,1,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Łukasz Jachowicz,bwin Interactive Entertainment AG,31/3/2011,16/5/2011,Prawo związane z grami i zakładami wzajemnymi,,,,1,,,,,,,,,,,,,,1,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Anna Borys-Karwacka,Mastercard Europe sprl,20/5/2013,31/12/2013,Ochrona konkurencyjności na rynku płatności bezgotówkowych w Polsce,,,,1,,,,,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Michał Koczalski,Neste Oil Oyi,20/1/2014,25/8/2014,Pełna implementacja dyrektywy 2009/28/WE w zakresie paliw odnawialnych,,,,,1,,,,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,2006-03-16,Tak,I - Firmy konsultingowe/kancelarie prawne/niezależni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnętrznych i Administracji",Tak,Michał Koczalski,International Paper EMEA,20/1/2014,31/12/2014,Pełna implementacja dyrektywy 2009/28/WE w zakresie paliw odnawialnych,,,,,1,,,,,,,,,,,,,,,,
9,GGK Public Relations Sp. z o.o.,2006-03-16,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Szymon Kamiński,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",19/6/2006,12/9/2006,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolnić i zwiększyć konkurencyjność na rynku sprzedaży i dystrybucji widocznych części aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",19/6/2006,12/9/2006,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolnić i zwiększyć konkurencyjność na rynku sprzedaży i dystrybucji widocznych części aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Michał,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",19/6/2006,12/9/2006,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolnić i zwiększyć konkurencyjność na rynku sprzedaży i dystrybucji widocznych części aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",28/9/2006,19/12/2006,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolnić i zwiększyć konkurencyjność na rynku sprzedaży i dystrybucji widocznych części aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",28/9/2006,19/12/2006,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolnić i zwiększyć konkurencyjność na rynku sprzedaży i dystrybucji widocznych części aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
