id,entityName,Euregister,category,ministries,parliamentActivity,representatives,clients,registerDate,expirationDate,subject,st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21
1,Polska Kompania Doradcza Sp. z o.o.,Nie,Nie dotyczy,Ministerstwo Sprawiedliwoœci,Nie,,,,,,,,,,,,,,,,,,,,1,,,,,,
2,Pleon Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Majchrzak Krzysztof,Nie,Nie dotyczy,Ministerstwo Sportu i Turystyki,Tak,Krzysztof Majchrzak,Sekcja Ratuj¹ca Miêdzyszkolny Oœrodek Sportowy nr 5 w Instytucie Reumatologii,7-2-2011,26-4-2011,Dzia³alnoœæ na rzecz ratowania Miêdzyszkolnego Oœrodka Sportowego nr 5 w Instytucje Reumatologii w Warszawie,,,,,,,,,,1,,,,,,,,1,,,
4,Grzegorz Ziemniak,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Zwi¹zek Pracodawców  LEWIATAN,Nie,Nie dotyczy,Ministerstwo Sportu i Turystyki,Nie,,,,,,,,,,,,,,,,,,,,,,,1,,,
6,ON BOARD PUBLIC RELATIONS,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Anna Kowalska,Adamed Sp. z o.o.,23-5-2006,23-6-2006,Za³o¿enia zmian w systemie refundacji leków,,,,,,,,,,1,,,,,,,,,,,
6,ON BOARD PUBLIC RELATIONS,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Iwona Kubicz,Adamed Sp. z o.o.,23-5-2006,23-6-2006,Za³o¿enia zmian w systemie refundacji leków,,,,,,,,,,1,,,,,,,,,,,
6,ON BOARD PUBLIC RELATIONS,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Norbert Ofmañski,Adamed Sp. z o.o.,23-5-2006,23-6-2006,Za³o¿enia zmian w systemie refundacji leków,,,,,,,,,,1,,,,,,,,,,,
6,ON BOARD PUBLIC RELATIONS,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Anna Kowalska,Adamed Sp. z o.o.,9-2-2007,7-5-2007,Prawo farmaceutyczne,,,,,,,,,,1,,,,,,,,,,,
6,ON BOARD PUBLIC RELATIONS,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Iwona Kubicz,Adamed Sp. z o.o.,9-2-2007,7-5-2007,Prawo farmaceutyczne,,,,,,,,,,1,,,,,,,,,,,
6,ON BOARD PUBLIC RELATIONS,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Norbert Ofmañski,Adamed Sp. z o.o.,9-2-2007,7-5-2007,Prawo farmaceutyczne,,,,,,,,,,1,,,,,,,,,,,
7,Dariusz Krupski,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,£ukasz Jachowicz,GTech Corp.,8-12-2008,8-1-2009,Prawo zwi¹zane z grami i zak³adami wzajemnymi,,,,1,,,,,,,,,,,,,,1,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,£ukasz Jachowicz,GTech Corp.,20-1-2009,21-3-2009,Prawo zwi¹zane z grami i zak³adami wzajemnymi,,,,1,,,,,,,,,,,,,,1,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,S³awomir Mazurek,REBA Organizacja Odzysku S.A.,20-1-2009,21-3-2009,Prawo ochrony œrodowiska,,,,1,,,,1,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,£ukasz Jachowicz,GTech Corp.,30-3-2009,8-6-2009,Prawo zwi¹zane z grami i zak³adami wzajemnymi,,,,1,,,,,,,,,,,,,,1,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,S³awomir Mazurek,REBA Organizacja Odzysku S.A.,30-3-2009,8-6-2009,Prawo zwi¹zane z ochron¹ œrodowiska,,,,1,,,,1,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,£ukasz Jachowicz,Adobe Systems Europe Limited,19-10-2009,30-11-2009,Informatyzacja administracji publicznej,1,1,,1,,,,,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,£ukasz Jachowicz,Adobe Systems Europe Limited,27-11-2009,22-2-2010,Informatyzacja administracji publicznej,1,1,,1,,,,,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,Marek Kotlarski,Souter Investments LLP,6-10-2010,2-11-2010,Prawo zwi¹zane z transportem,,,,1,,,,,,,,1,,,,,,,,,
